Date,Open,High,Low,Close,AdjClose,Volume
3/1/1979,18.75,20.046875,18.664063,19.71875,7.372463,33780800
4/1/1979,19.71875,20.125,19.140625,19.640625,7.343256,34633600
5/1/1979,19.640625,20.09375,18.890625,19,7.103735,30065600
6/1/1979,19.09375,19.625,18.03125,18.34375,6.932966,31636000
7/1/1979,18.34375,19.1875,17,17.4375,6.590447,35155200
8/1/1979,17.4375,18.125,17.0625,17.5,6.614071,36858000
9/1/1979,17.46875,17.84375,16.4375,16.9375,6.480247,35494800
10/1/1979,16.90625,17.375,15.28125,15.59375,5.966132,45927200
11/1/1979,15.59375,16.75,15.28125,16.3125,6.241123,33889200
12/1/1979,16.28125,16.90625,15.8125,16.09375,6.242988,26533600
1/1/1980,15.75,18,15.3125,17.15625,6.655151,49631600
2/1/1980,17.15625,17.625,15.5,15.875,6.158133,39879600
3/1/1980,15.875,15.875,12.84375,13.9375,5.474169,49619200
4/1/1980,13.9375,14,12.59375,13.71875,5.388252,55773200
5/1/1980,13.71875,14.15625,13,13.84375,5.437346,39994400
6/1/1980,13.84375,15.09375,13.8125,14.6875,5.860168,42240800
7/1/1980,14.6875,16.53125,14.59375,16.3125,6.508528,41150000
8/1/1980,16.3125,17.28125,16,16.375,6.533463,38015200
9/1/1980,16.375,17.25,15.84375,16.03125,6.481245,44193600
10/1/1980,16.03125,17.875,15.90625,16.65625,6.733927,55620000
11/1/1980,16.6875,18.1875,16.5625,17.03125,6.885531,46076800
12/1/1980,17,17.375,15.8125,16.96875,6.948798,47108400
1/1/1981,16.96875,17.875,16,16.09375,6.590479,44448800
2/1/1981,16.09375,16.21875,15.0625,16.0625,6.577686,31698800
3/1/1981,16.0625,16.3125,15.34375,15.59375,6.472022,43053600
4/1/1981,15.59375,15.84375,14.65625,14.65625,6.082921,64481600
5/1/1981,14.65625,14.84375,13.78125,14.6875,6.095891,46670800
6/1/1981,14.9375,15.1875,14.28125,14.46875,6.095682,44883600
7/1/1981,14.46875,14.46875,13.65625,14.03125,5.911362,33268800
8/1/1981,14.03125,14.71875,13.75,13.78125,5.806037,33306800
9/1/1981,13.78125,14.1875,13.0625,13.53125,5.785954,40204800
10/1/1981,13.53125,14.0625,12.09375,12.875,5.505342,52389600
11/1/1981,13,13.625,12.46875,13.625,5.82604,44765600
12/1/1981,13.625,14.40625,13.25,14.21875,6.18021,47809200
1/1/1982,14.40625,16.1875,13.90625,15.90625,6.913689,74401600
2/1/1982,15.75,16,14.9375,15.46875,6.723527,51439200
3/1/1982,15.53125,15.6875,14.28125,14.9375,6.582836,67770800
4/1/1982,15.125,16.53125,14.96875,16.0625,7.078612,61904400
5/1/1982,16.09375,16.3125,15.3125,15.375,6.775639,42299600
6/1/1982,15.40625,15.53125,14.375,15.15625,6.768619,59794400
7/1/1982,15.15625,17.15625,14.84375,16.40625,7.326854,77599600
8/1/1982,16.65625,17.75,15.53125,17.625,7.871141,86336400
9/1/1982,17.5625,19.40625,17.34375,18.34375,8.300907,88402400
10/1/1982,18.5,21.1875,18.3125,19.96875,9.03625,90497200
11/1/1982,20.125,21.625,19.875,21.625,9.785728,73062000
12/1/1982,21.8125,24.5,21.53125,24.0625,10.999713,87144800
1/1/1983,23.6875,25.1875,23.0625,24.71875,11.299706,83227600
2/1/1983,24.53125,25.375,23.46875,24.75,11.313988,68222000
3/1/1983,25.1875,26.21875,24.65625,25.4375,11.733385,70778800
4/1/1983,25.40625,29.5,25.28125,29.25,13.491949,72702000
5/1/1983,29,29.625,27.4375,27.8125,12.828877,55655600
